team_id,affinity_band,dossier_path,n_participants,n_missing_id,n_missing_role,n_dup_ids,expected_members,mismatch_expected_members,participant_roles,role_counts,roles_in_project_pack,roles_in_blueprint,missing_roles_vs_refs,extra_roles_vs_refs
HIGH_00186,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_00186\planning\dossier.json,5,0,0,0,5,False,commercial sales representative; membership manager,"{""commercial sales representative"": 4, ""membership manager"": 1}",Customer support; Finance; Marketing; Membership management; Sales management; commercial sales representative; membership manager,commercial sales representative; membership manager,Customer support; Finance; Marketing; Membership management; Sales management,
HIGH_00195,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_00195\planning\dossier.json,6,0,0,0,6,False,pharmacy assistant; shelf filler,"{""pharmacy assistant"": 5, ""shelf filler"": 1}",health and safety officer; pharmacist; pharmacy assistant; shelf filler; store manager,pharmacy assistant; shelf filler,health and safety officer; pharmacist; store manager,
HIGH_00269,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_00269\planning\dossier.json,5,0,0,0,5,False,building construction worker; garden labourer; printed circuit board assembler,"{""printed circuit board assembler"": 1, ""building construction worker"": 3, ""garden labourer"": 1}",Building construction worker; Facilities maintenance staff; Garden labourer; Health and safety officer; Printed circuit board assembler; Workshop supervisor; building construction worker; garden labourer; printed circuit board assembler,building construction worker; garden labourer; printed circuit board assembler,Building construction worker; Facilities maintenance staff; Garden labourer; Health and safety officer; Printed circuit board assembler; Workshop supervisor,
HIGH_00328,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_00328\planning\dossier.json,5,0,0,0,5,False,security guard,"{""security guard"": 5}",External Emergency Services Liaison; Facility Manager; Front Desk and Reception Staff; Head of Security Operations; Health and Safety Officer; security guard,security guard,External Emergency Services Liaison; Facility Manager; Front Desk and Reception Staff; Head of Security Operations; Health and Safety Officer,
HIGH_00586,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_00586\planning\dossier.json,6,0,0,0,6,False,civil engineering worker,"{""civil engineering worker"": 6}",civil engineer; civil engineering worker; health and safety officer; local traffic authority representative; logistics operations supervisor; site manager,civil engineering worker,civil engineer; health and safety officer; local traffic authority representative; logistics operations supervisor; site manager,
HIGH_00590,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_00590\planning\dossier.json,6,0,0,0,6,False,mover; office clerk,"{""mover"": 3, ""office clerk"": 3}",Customer service representative; Health and safety officer; IT support technician; Office administration manager; Warehouse supervisor; mover; office clerk,mover; office clerk,Customer service representative; Health and safety officer; IT support technician; Office administration manager; Warehouse supervisor,
HIGH_00740,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_00740\planning\dossier.json,5,0,0,0,5,False,accountant; bookkeeper; management assistant,"{""bookkeeper"": 2, ""management assistant"": 2, ""accountant"": 1}",Accounting manager; Bookkeeping team lead; Financial planner; Head of finance; Internal audit representative; accountant; bookkeeper; management assistant,accountant; bookkeeper; management assistant,Accounting manager; Bookkeeping team lead; Financial planner; Head of finance; Internal audit representative,
HIGH_00879,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_00879\planning\dossier.json,5,0,0,0,5,False,building construction worker,"{""building construction worker"": 5}",building construction worker; facility manager; health and safety officer; materials coordinator; site supervisor,building construction worker,facility manager; health and safety officer; materials coordinator; site supervisor,
HIGH_01059,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01059\planning\dossier.json,5,0,0,0,5,False,contact centre supervisor; sales account manager,"{""contact centre supervisor"": 2, ""sales account manager"": 3}",compliance officer; contact centre supervisor; customer service manager; sales account manager; sales operations manager,contact centre supervisor; sales account manager,compliance officer; customer service manager; sales operations manager,
HIGH_01069,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01069\planning\dossier.json,5,0,0,0,5,False,call centre agent; software developer; web developer,"{""call centre agent"": 1, ""software developer"": 2, ""web developer"": 2}",Customer support manager; IT security officer; Product owner; Software development lead; Web design lead; call centre agent; software developer; web developer,call centre agent; software developer; web developer,Customer support manager; IT security officer; Product owner; Software development lead; Web design lead,
